model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov11n,623,472,843,276,2582784.0,6378380800.0,3205694400.0,0.0,6376844800.0,3204926400.0,,N/A,512,1024,128,256.0,311.5,post_placement,146,1315,114.43 Megabytes/sec,271.76 Megabytes/sec,103.25 Megabytes/sec,236.75 Megabytes/sec,N/A,307,256,276,160,0,28,49600,953984,512,3,3,64,False,False,True,False,True,2,1,N/A,hailo8,,,3799040.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.07867287267578617,0.137943159925589,,,,0.4031440052145473,0.6819480295475534,0.9131989452832805,0.9887044328174683,0.7765401129396425,0.8262841858587314,0.4835359417816397,0.15457984738062916,,97.64308443533744,0.010241380695652173,N/A,0.5089465024639744,0.8923747969935896,,0.0024974800000000003,0.6000496438851944,0.8725360276804457,0.04720762923253073,0.12036037680716187,1228800.0,1108800.0,1689600.0,1433600.0,0.0,0.0
yolov11n_context_0,0.07297119878043716,0.09629109813138542,,0.7890625,0.4697265625,0.361328125,0.509230036817523,0.9643674380437508,0.9943884210706659,0.7202514134443332,0.772972972972973,0.3612552148030352,0.10089745257194146,,911.0226912976835,0.0010976675,0.00042008,0.7232214185824717,0.9543461770031147,,0.00118967,,,,,1228800.0,0.0,0.0,1126400.0,0.0,0.0
yolov11n_context_1,0.05411105887351311,0.15978023873481645,,0.6484375,0.47265625,0.41015625,0.890764092006107,0.8865293662640187,0.9790311193125094,0.8467308694455183,0.8238095238095238,0.6558374387219382,0.22160132206815492,,3730.160210381036,0.000268085,0.0008298050000000001,0.24418202187833024,0.721025656542225,,0.00076167,,,,,0.0,0.0,358400.0,307200.0,0.0,0.0
yolov11n_context_2,0.11015705964220372,0.20263608100296862,,0.71875,0.341796875,0.4453125,0.8415649578869333,0.8841872999458438,0.9883389670855143,0.8005032669226553,0.881578947368421,0.5865082802748498,0.23025032096727502,,1847.5153228302088,0.0005412675,0.0005900900000000001,0.4784230448819227,0.8800686146785821,,0.00054614,,,,,0.0,1108800.0,1331200.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,2457600,,1170.33,341783,,3.0,3.0,3.0,8,1,14.0,,,1,1,False,,False,combined (SPATIAL_W),2798.6618041992188,5970.478515625,,2.0,0.0,3.0,1.252935,0,3,0.5097965598106384,0.459862341483434,0.38870302203197343,14.0,14080,yolov11n_context_0,False,0.00125551,0,4915200,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,16,8,16,0.2996053099632263,1.0,0.375,0.7784301712494904,0.6666666666666666,0.0874581797782241,False,False,False
conv1,conv,640,640,16,3,3,3,2,2,normalization1,precision_change0,448.0,45875200,,911.02,439067,21600,45.0,28.0,28.0,16,2,99.0,,1,1,1,False,,False,combined (SPATIAL_W),26773.864585876465,25374.53369140625,,34.0,0.0,28.0,1.267925,0,16,0.5035550249947442,0.37563665796603457,0.3633077496351422,1062.0,59136,yolov11n_context_0,False,0.00128281,0,88473600,4352,16,0.0,1.0,-47.658660888671875,21.58795738220215,-0.27907758951187134,24.774442672729492,16,16,16,0.39339556800074316,1.0,1.0,0.7587010128542274,0.7555555555555555,0.29838672084458,False,False,False
precision_change0,activation,320,320,16,16,,,,,conv1,conv2,0,0,,920.43,434581,,10.0,10.0,10.0,16,1,27.0,,,,,False,,False,combined (SPATIAL_W),13060.421752929688,10448.33740234375,,7.0,0.0,10.0,1.2737825,0,16,0.39853701442480083,0.34908409267663953,0.30785278653572373,136.0,23552,yolov11n_context_0,False,0.001300065,0,0,0,16,-0.27907758951187134,24.774442672729492,N/A,N/A,-0.29493382573127747,24.77444076538086,8,16,16,0,0,0,0,0.0,0,False,False,False
conv2,conv,320,320,32,16,3,3,2,2,precision_change0,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,118784000,,1016.26,393601,161280,13.0,4.0,4.0,32,1,5.0,,1,1,1,False,,False,combined (SPATIAL_W),4739.067321777344,2238.929443359375,,12.0,0.0,4.0,1.277835,0,32,0.4432841172585121,0.2555624172091484,0.34446469019782594,59.0,10240,yolov11n_context_0,False,0.001311115,0,235929600,10240,8,-0.29493382573127747,24.77444076538086,-1.0497723817825317,1.3010402917861938,-0.3177773654460907,40.19883728027344,8,8,16,0.4179088988086421,1.0,1.0,0.8462493133335449,0.9230769230769231,0.3537349306343656,False,False,False
conv_feature_splitter1_1,conv,160,160,16,32,1,1,1,1,conv2,concat1,528.0,13516800.0,,1552.67,257621,204800.0,1,1,1,16,2,1,0.0,1,1,1,False,,False,,746.309814453125,373.1549072265625,yolov11n/conv_feature_splitter1_1,1,0,1,1.276,0,16,0.8198089599609375,0.19874155521392822,0.4810199902841632,12,2560,yolov11n_context_0,False,0.0013151375,0,26214400.0,256,8,-0.3177773654460907,40.19883728027344,-1.1268031597137451,1.0926340818405151,-0.4641655683517456,23.20827865600586,8,8,16,0.8198089599609375,1.0,1.0,0.5867464418870013,1.0,0.4810199902841632,False,False,False
conv_feature_splitter1_2,conv,160,160,16,32,1,1,1,1,conv2,conv4 precision_change1,528.0,13516800.0,,1537.39,260181,204800.0,1,1,1,16,2,1,0.0,1,1,1,False,,False,,746.309814453125,373.1549072265625,yolov11n/conv_feature_splitter1_2,1,0,1,1.27604,0,16,0.8117426037788391,0.1967860907316208,0.4810199864571515,6,5120,yolov11n_context_0,False,0.0013151775,0,26214400.0,256,8,-0.3177773654460907,40.19883728027344,-1.1663802862167358,0.7100825309753418,-0.32520854473114014,21.8288631439209,16,8,16,0.8117426037788391,1.0,1.0,0.5925769871113065,1.0,0.4810199864571515,False,False,False
conv4,conv,160,160,8,16,3,3,1,1,conv_feature_splitter1_2,precision_change2,1160.0,29696000,,1004.69,398133,17280,38.0,24.0,24.0,16,1,29.0,,1,1,1,False,,False,combined (),7197.22527217865,2612.0843505859375,,28.0,0.0,24.0,1.2834649999999999,0,16,0.45675719490176764,0.31978138916504883,0.26007300151993484,2876.0,33280,yolov11n_context_0,False,0.00133144,0,58982400,3584,16,-0.32520854473114014,21.8288631439209,-0.14621177315711975,0.14524638652801514,-0.2784814238548279,4.058496475219727,16,16,16,0.3506283826941223,0.7750000006288117,1.0,0.8525393192115374,0.7368421052631579,0.23480958880965463,False,False,False
precision_change1,activation,160,160,16,16,,,,,conv_feature_splitter1_2,ew_add1 concat1,0,0,,1109.07,360661,,4.0,4.0,4.0,16,1,5.0,,,,,False,,False,combined (),1306.0421752929688,746.309814453125,,2.0,0.0,4.0,1.27761,0,16,0.5459797456860542,0.5104893520474434,0.17491635665342203,75.0,10240,yolov11n_context_0,False,0.0013234675,0,0,0,16,-0.32520854473114014,21.8288631439209,N/A,N/A,-0.3744087219238281,18.720436096191406,8,16,16,0,0,0,0,0.0,0,False,False,False
precision_change2,activation,160,160,8,8,,,,,conv4,conv5,0,0,,1109.07,360661,,1,1,1,8,1,1,0.0,,,,False,,False,,186.57745361328125,186.57745361328125,yolov11n/precision_change2,1,0,1,1.2762075000000002,0,8,0.21294234693050385,0.14196155965328217,0.17491635624244692,25,1280,yolov11n_context_0,False,0.001337445,0,0,0,16,-0.2784814238548279,4.058496475219727,N/A,N/A,-0.2898925840854645,4.058495998382568,8,16,16,0.21294234693050385,1.0,1.0,0.8214258871652845,0.0,0.17491635624244692,False,False,False
conv5,conv,160,160,16,8,3,3,1,1,precision_change2,ew_add1,1168.0,29900800.0,,1227.36,325902,230400.0,2,1,1,8,1,1,0.0,1,1,1,False,,False,,186.57745361328125,373.1549072265625,yolov11n/conv5,2,0,1,1.2801325,0,8,0.7256782650947571,0.15710243582725525,0.5386421615628402,12,2560,yolov11n_context_0,False,0.0013470025,0,58982400.0,15360,8,-0.2898925840854645,4.058495998382568,-4.266925811767578,4.813937187194824,-0.2999017536640167,18.81883430480957,8,8,16,0.7256782650947571,1.0,1.0,0.7422602928482441,1.0,0.5386421615628402,False,False,False
