model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov11n,432,355,501,180,2582784.0,6378483200.0,3205745600.0,0.0,6376844800.0,3204926400.0,,N/A,512,1024,128,256.0,216.0,post_placement,141,856,115.87 Megabytes/sec,255.87 Megabytes/sec,52.28 Megabytes/sec,187.45 Megabytes/sec,N/A,200,256,180,160,0,28,65792,808064,512,2,3,64,False,False,True,False,True,2,0,N/A,hailo8,,,3225600.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.06952634260167315,0.1319723806896665,,,,0.31604505625188933,0.745867185032473,0.9509240735327884,0.9805976553307796,0.7649974043482934,0.8917064280072525,0.5375485752687718,0.15139814008753597,,98.87154092798835,0.01011413386111111,N/A,0.4592285120641121,0.8716908980081406,,0.0032147,0.5398101378622723,0.831757273480784,0.037531024584868754,0.10976898753720507,1228800.0,554400.0,1484800.0,1433600.0,0.0,0.0
yolov11n_context_0,0.0635341281203904,0.12639210359221428,,0.59375,0.384765625,0.345703125,0.6483412775933481,0.9694245819830332,0.9850744440730136,0.7342588887281517,0.9096045197740112,0.46810273622712106,0.14719636822766893,,1267.370902431451,0.0007890350000000001,0.0010390075,0.43162836750239675,0.8586631933521849,,0.00064952,,,,,1228800.0,0.0,0.0,1152000.0,0.0,0.0
yolov11n_context_1,0.08133302621718806,0.15532690442355604,,0.6015625,0.3251953125,0.3203125,0.8550340152407655,0.9658749109190742,0.9778088805459276,0.7946258841385823,0.8719512195121951,0.639211449051289,0.17852976018424674,,1362.9595303241458,0.0007336975,0.0008768024999999999,0.45557125116423475,0.8700336810134913,,0.00066286,,,,,0.0,524800.0,1203200.0,281600.0,0.0,0.0
yolov11n_context_2,0.04527305363322417,0.06705478838648692,,0.2109375,0.1259765625,0.177734375,0.7848238174794446,0.7417164391199356,0.9706475270881484,0.7638881368918806,0.9340659340659341,0.43371638650691213,0.07200369697868658,,4785.37589127626,0.00020897,0.0001233825,0.6287601266727345,0.9312686875832977,,0.00190232,,,,,0.0,29600.0,281600.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,2457600,,1509.53,264983,,3.0,3.0,3.0,8,1,13.0,,,1,1,False,,False,combined (SPATIAL_W),3893.3633422851562,8305.841796875,,2.0,0.0,3.0,0.76781,0,3,0.5474504828453064,0.48304382960001624,0.37852144093442236,13.0,7040,yolov11n_context_0,False,0.00076974,0,4915200,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.38643988966941833,1.0,0.375,0.839579359597483,0.6666666666666666,0.12166760815933958,False,False,False
conv1,conv,640,640,16,3,3,3,2,2,normalization1,conv2,448.0,45875200,,1304.06,306734,86400,9.0,5.0,5.0,16,1,7.0,,1,1,1,False,,False,combined (SPATIAL_W),6748.4964599609375,8305.841796875,,8.0,0.0,5.0,0.7682975,0,16,0.35067652331458193,0.2951657742261886,0.3245032695071129,7.0,10240,yolov11n_context_0,False,0.0007732475,0,88473600,10240,8,0.0,1.0,-47.658660888671875,21.58795738220215,-0.4756939709186554,60.175289154052734,8,8,16,0.2940153574164318,1.0,1.0,0.9657682661003216,0.8888888888888888,0.28395444167727746,False,False,False
conv2,conv,320,320,32,16,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,118784000,,1410.34,283619,115200,17.0,5.0,5.0,32,1,8.0,,1,1,1,False,,False,combined (SPATIAL_W),8565.399353027344,4152.9208984375,,16.0,0.0,5.0,0.7680575,0,32,0.4329556472161237,0.21177148073911667,0.3664491127226057,104.0,10240,yolov11n_context_0,False,0.0007780325,0,235929600,10240,8,-0.4756939709186554,60.175289154052734,-1.0497723817825317,1.3010402917861938,-0.33690813183784485,85.57466888427734,8,8,16,0.4167039284394117,1.0,1.0,0.8856367001329705,0.9411764705882353,0.369074247188099,False,False,False
conv_feature_splitter1_1,conv,160,160,16,32,1,1,1,1,conv2,concat1,528.0,13516800.0,,1552.67,257621,204800.0,1,1,1,16,2,1,0.0,1,1,1,False,,False,,1038.230224609375,519.1151123046875,yolov11n/conv_feature_splitter1_1,1,0,1,0.7672049999999999,0,16,0.8198089599609375,0.19874155521392822,0.669171849392285,12,2560,yolov11n_context_0,False,0.000782055,0,26214400.0,256,8,-0.33690813183784485,85.57466888427734,-1.1268031597137451,1.0926340818405151,-0.55645352602005,46.742095947265625,8,8,16,0.8198089599609375,1.0,1.0,0.8162533981382321,1.0,0.669171849392285,False,False,False
conv_feature_splitter1_2,conv,160,160,16,32,1,1,1,1,conv2,conv4 ew_add1 concat1,528.0,13516800.0,,1552.67,257621,204800.0,1,1,1,16,2,3,0.0,1,1,1,False,,False,,1038.230224609375,519.1151123046875,yolov11n/conv_feature_splitter1_2,1,0,1,0.7672049999999999,0,16,0.8198089599609375,0.19874155521392822,0.669171849392285,36,2560,yolov11n_context_0,False,0.000782055,0,26214400.0,256,8,-0.33690813183784485,85.57466888427734,-1.1663802862167358,0.7100825309753418,-0.4713723659515381,39.59527587890625,8,8,16,0.8198089599609375,1.0,1.0,0.8162533981382321,1.0,0.669171849392285,False,False,False
conv4,conv,160,160,8,16,3,3,1,1,conv_feature_splitter1_2,conv5,1160.0,29696000,,1423.27,281042,230400,3.0,3.0,3.0,8,1,3.0,,1,1,1,False,,False,combined (SPATIAL_W),1168.0090026855469,519.1151123046875,,2.0,0.0,3.0,0.7716,0,8,0.8041249712308248,0.27714975674947107,0.5231918266704559,127.0,2560,yolov11n_context_0,False,0.00079101,0,58982400,7680,8,-0.4713723659515381,39.59527587890625,-0.14621177315711975,0.14524638652801514,-0.2999681830406189,6.074355602264404,8,8,16,0.8360205210902905,1.0,1.0,0.8902075865443508,0.6666666666666666,0.7442318707236377,False,False,False
conv5,conv,160,160,16,8,3,3,1,1,conv4,ew_add1,1168.0,29900800.0,,2060.03,194172,115200.0,4,1,2,4,1,1,0.0,1,1,1,True,,False,,259.55755615234375,519.1151123046875,yolov11n/conv5,2,0,1,0.767805,0,4,0.6089961528778076,0.2636837363243103,0.3746665261889196,12,2560,yolov11n_context_0,False,0.0007963525,0,58982400.0,15360,8,-0.2999681830406189,6.074355602264404,-4.266925811767578,4.813937187194824,-0.385591596364975,32.38969421386719,8,8,16,0.6089961528778076,1.0,1.0,0.6152198571672993,1.0,0.3746665261889196,False,False,False
ew_add1,ew_add,160,160,16,16,,,,,conv_feature_splitter1_2 conv5,concat1,0,204800.0,,2548.11,156979,,1,1,1,16,0,1,0.0,,,,False,,False,,519.1151123046875,0.0,yolov11n/ew_add1,1,0,1,0.7625649999999999,0,16,0.6523165702819824,0.3261582851409912,0.32444696016746827,12,2560,yolov11n_context_0,False,0.000798915,0,409600.0,0,8,N/A,N/A,N/A,N/A,-0.8796473741531372,73.89037322998047,8,8,16,0.6523165702819824,1.0,1.0,0.4973765422319669,1.0,0.32444696016746827,False,False,False
concat1,concat,160|160|160,160|160|160,48,16|16|16,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,2545.42,157145,,1,1,1,48,0,3,1,,,,False,,False,,519.1151123046875,0.0,yolov11n/concat1,0,0,1,0.76257,0,48,0.9774411916732788,0.9774411916732788,0.4866704140674919,3,7680,yolov11n_context_0,False,0.00080137,0,0,0,8,-0.55645352602005,46.742095947265625,N/A,N/A,-0.8796473741531372,73.89037322998047,8,8,8,0.9774411916732788,1.0,1.0,0.49790250115647594,0.0,0.4866704140674919,False,False,False
conv6,conv,160,160,64,48,1,1,1,1,concat1,conv7,3136.0,80281600.0,,1435.02,278741,153600.0,8,1,2,8,2,4,0.0,1,1,1,True,,False,,1557.3453369140625,2076.46044921875,yolov11n/conv6,4,0,1,0.7671675,0,8,0.5625293850898743,0.7347322702407837,0.4968094043018898,4,10240,yolov11n_context_0,False,0.00080842,0,157286400.0,2048,8,-0.8796473741531372,73.89037322998047,-0.6246677041053772,0.7622402310371399,-0.3187088370323181,19.998979568481445,8,8,16,0.5625293850898743,1.0,1.0,0.8831705817866128,1.0,0.4968094043018898,False,False,False
