model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov11n,512,352,565,222,2582784.0,6378483200.0,3205745600.0,0.0,6376844800.0,3204926400.0,,N/A,512,1024,128,256.0,256.0,post_placement,143,917,136.08 Megabytes/sec,272.17 Megabytes/sec,61.40 Megabytes/sec,197.48 Megabytes/sec,N/A,265,256,222,160,0,28,49408,888960,512,2,2,1500.0,False,False,True,False,True,3,4,N/A,hailo8,,,3326464.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.07705181287578218,0.18369952971161116,,,,0.5030174940052697,0.7494368244895603,0.9092800786542009,0.9906536200015992,0.7786799334597593,0.8638226720389689,0.5345976182929228,0.2289744488538678,,116.12530131284784,0.00861138777419355,N/A,0.33650834519513084,0.8022708674750376,,0.0013663199999999999,0.7144072464207368,0.893547870618497,0.055046373468313425,0.16414432360742948,1228800.0,554400.0,1228800.0,1228800.0,0.0,0.0
yolov11n_context_0,0.07446826731089927,0.1532031894679576,,0.7890625,0.3896484375,0.443359375,0.6441434351346206,0.9550975820892668,0.9943439172610311,0.7625539631880482,0.8458149779735683,0.4812274613662659,0.1804602980123497,,1642.4069473813875,0.0006088625,0.000866605,0.4126573441976865,0.8489578658319251,,0.00075229,,,,,1228800.0,0.0,0.0,1228800.0,0.0,0.0
yolov11n_context_1,0.07901433413695128,0.2142292064708576,,0.9453125,0.505859375,0.556640625,0.848764257730939,0.879088899113384,0.9880284478533347,0.7906501844939531,0.8771929824561403,0.580704629979213,0.2835471826070376,,1847.5153228302088,0.0005412675,0.0014011,0.27866379559995724,0.7555328340812809,,0.00061403,,,,,0.0,554400.0,1228800.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,2457600,,2125.59,188183,,3.0,3.0,3.0,8,1,4.0,,,1,1,False,,False,combined (SPATIAL_W),3999.9868774414062,8533.3056640625,,0.0,0.0,3.0,0.76751,0,3,0.652591347694397,0.5618994832038879,0.49053220997310143,26.0,7040,yolov11n_context_0,False,0.00076944,0,4915200,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.5441511869430542,1.0,0.375,0.7726826664476791,0.6666666666666666,0.15767107127918575,False,False,False
conv1,conv,640,640,16,3,3,3,2,2,normalization1,conv2,448.0,45875200,,1642.41,243545,60480,15.0,9.0,9.0,16,1,20.0,,1,1,1,False,,False,combined (SPATIAL_W),13066.62387084961,12799.95849609375,,12.0,0.0,9.0,0.7678550000000001,0,16,0.4005000193913777,0.3903939177592596,0.3336056934013913,242.0,15744,yolov11n_context_0,False,0.000774565,0,88473600,10240,8,0.0,1.0,-47.658660888671875,21.58795738220215,-0.2879655957221985,24.189109802246094,8,8,16,0.2909494583927971,1.0,1.0,0.8432139971485239,0.8,0.24532084521245145,False,False,False
conv2,conv,320,320,32,16,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,4640.0,118784000,,1749.57,228628,92160,23.0,8.0,8.0,32,1,14.0,,1,1,1,False,,False,combined (SPATIAL_W),13866.621704101562,5333.3160400390625,,20.0,0.0,8.0,0.7675775,0,32,0.4667810927266659,0.36021236423403025,0.4021897533189039,176.0,19456,yolov11n_context_0,False,0.0007821675,0,235929600,10240,8,-0.2879655957221985,24.189109802246094,-1.0497723817825317,1.3010402917861938,-0.32563281059265137,41.19255065917969,8,8,16,0.41550588810120065,1.0,1.0,0.9207957075245067,0.8695652173913043,0.3826315406178936,False,False,False
conv_feature_splitter1_1,conv,160,160,16,32,1,1,1,1,conv2,concat1,528.0,13516800.0,,2143.84,186581,102400.0,2,1,2,8,2,1,0.0,1,1,1,True,,False,,1066.6632080078125,533.3316040039062,yolov11n/conv_feature_splitter1_1,1,0,1,0.766095,0,8,0.5659740567207336,0.2744116485118866,0.4335954565973894,12,2560,yolov11n_context_0,False,0.00078508,0,26214400.0,512,8,-0.32563281059265137,41.19255065917969,-1.1268031597137451,1.0926340818405151,-0.4665735960006714,23.32868003845215,8,8,16,0.5659740567207336,1.0,1.0,0.7661048266234166,1.0,0.4335954565973894,False,False,False
conv_feature_splitter1_2,conv,160,160,16,32,1,1,1,1,conv2,conv4 ew_add1 concat1,528.0,13516800.0,,2143.84,186581,102400.0,2,1,2,8,2,1,0.0,1,1,1,True,,False,,1066.6632080078125,533.3316040039062,yolov11n/conv_feature_splitter1_2,1,0,1,0.766095,0,8,0.5659740567207336,0.2744116485118866,0.4335954565973894,12,2560,yolov11n_context_0,False,0.00078508,0,26214400.0,512,8,-0.32563281059265137,41.19255065917969,-1.1663802862167358,0.7100825309753418,-0.3783103823661804,18.91551971435547,8,8,16,0.5659740567207336,1.0,1.0,0.7661048266234166,1.0,0.4335954565973894,False,False,False
conv4,conv,160,160,8,16,3,3,1,1,conv_feature_splitter1_2,conv5,1160.0,29696000,,2355.48,169817,115200,5.0,3.0,5.0,8,1,3.0,,1,1,1,False,,False,combined (SPATIAL_W),1199.996109008789,533.3316040039062,,2.0,0.0,3.0,0.767895,0,8,0.7021288275718689,0.2970993022123973,0.4068077655386187,127.0,2560,yolov11n_context_0,False,0.00079033,0,58982400,7680,8,-0.3783103823661804,18.91551971435547,-0.14621177315711975,0.14524638652801514,-0.28674569725990295,4.014439582824707,8,8,16,0.6925762132178112,1.0,1.0,0.6962847126006279,0.8,0.4822311955032407,False,False,False
conv5,conv,160,160,16,8,3,3,1,1,conv4,ew_add1,1168.0,29900800.0,,2060.03,194172,115200.0,4,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,533.3316040039062,yolov11n/conv5,2,0,1,0.76673,0,4,0.6089961528778076,0.2636837363243103,0.48553655791163713,12,2560,yolov11n_context_0,False,0.00079659,0,58982400.0,15360,8,-0.28674569725990295,4.014439582824707,-4.266925811767578,4.813937187194824,-0.29912930727005005,18.77036476135254,8,8,16,0.6089961528778076,1.0,1.0,0.797273604467347,1.0,0.48553655791163713,False,False,False
ew_add1,ew_add,160,160,16,16,,,,,conv_feature_splitter1_2 conv5,concat1,0,204800.0,,2548.11,156979,,1,1,1,16,0,1,0.0,,,,False,,False,,533.3316040039062,0.0,yolov11n/ew_add1,1,0,1,0.76149,0,16,0.6523165702819824,0.3261582851409912,0.42045619038081394,12,2560,yolov11n_context_0,False,0.0007991525,0,409600.0,0,8,N/A,N/A,N/A,N/A,-0.6339964270591736,31.69982147216797,8,8,16,0.6523165702819824,1.0,1.0,0.6445585004824571,1.0,0.42045619038081394,False,False,False
concat1,concat,160|160|160,160|160|160,48,16|16|16,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,2545.42,157145,,1,1,1,48,0,6,1,,,,False,,False,,533.3316040039062,0.0,yolov11n/concat1,0,0,1,0.761495,0,48,0.9774411916732788,0.9774411916732788,0.6306842516393167,6,7680,yolov11n_context_0,False,0.0008016075,0,0,0,8,-0.4665735960006714,23.32868003845215,N/A,N/A,-0.6339964270591736,31.69982147216797,8,8,8,0.9774411916732788,1.0,1.0,0.6452400993656203,0.0,0.6306842516393167,False,False,False
conv6,conv,160,160,64,48,1,1,1,1,concat1,conv7,3136.0,80281600,,1675.41,238747,153600,9.0,5.0,5.0,64,1,6.0,,1,1,1,False,,False,combined (NORMAL),6933.310607910156,2133.326416015625,,8.0,0.0,5.0,0.764765,0,64,0.6985201173358493,0.348831570148468,0.6657222612505749,1022.0,10752,yolov11n_context_0,False,0.000807535,0,157286400,0,8,-0.6339964270591736,31.69982147216797,-0.6246677041053772,0.7622402310371399,-0.29315733909606934,9.051233291625977,8,8,16,0.6786086559295654,1.0,1.0,0.9487404791722269,0.8888888888888888,0.6438235013970368,False,False,False
