model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov11s,787,745,665,233,9414586.0,21429427200.0,10746092000.0,0.0,21428608000.0,10745682400.0,,N/A,512,1024,128,256.0,393.5,post_placement,141,1410,52.68 Megabytes/sec,263.38 Megabytes/sec,23.77 Megabytes/sec,234.47 Megabytes/sec,N/A,268,256,233,160,4,28,33024,1238016,512,2,3,64,False,False,True,False,True,2,0,N/A,hailo8,,,10575360.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.12418902823637445,0.23198174829512472,,,,0.5165405189282981,0.7915695776915188,0.9460519690422564,0.972729850312259,0.7841447693915115,0.8957400938349508,0.5751057321214983,0.2648181801759062,,44.95065046763993,0.022246619116666668,N/A,0.4689596014664913,0.8760038609925882,,0.00555263,0.5575694097783437,0.8436830315182103,0.06924400317470136,0.19571906465852523,1228800.0,554400.0,3993600.0,3993600.0,921600.0,921600.0
yolov11s_context_0,0.20952230115562676,0.28939571431141176,,0.6171875,0.56640625,0.568359375,0.724303483337852,0.9979189480734643,0.9716005967313591,0.8411977957722854,0.9037800687285223,0.5958352453885399,0.3060638076898164,,796.2734402993988,0.00125585,0.0005786575,0.6845706545217177,0.9455404626106688,,0.001370385,,,,,1228800.0,0.0,0.0,2355200.0,0.0,0.0
yolov11s_context_1,0.06574169441215393,0.16650192942334038,,0.6015625,0.3896484375,0.44140625,0.8966649075324673,0.9156582091580079,0.9738671391765248,0.7153070150530954,0.8539823008849557,0.5655285939173547,0.21317777075400282,,903.9527594287922,0.0011062525,0.002480945,0.30838906974037533,0.7810473335677941,,0.00071298,,,,,0.0,0.0,2355200.0,1638400.0,921600.0,921600.0
yolov11s_context_2,0.15789415885980435,0.248443398796123,,0.6015625,0.4208984375,0.52734375,0.8180533193645622,0.9020096220303078,0.9734000939306915,0.7736535114933404,0.9259259259259259,0.5542167313134234,0.27061363833663254,,1087.5298390999603,0.000919515,0.000656435,0.5834671150734477,0.918074197306602,,0.003469265,,,,,0.0,554400.0,1638400.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
normalization1,normalization,640,640,3,3,1,1,,,input_layer1,conv1,0,2457600,,1509.53,264983,,3.0,3.0,3.0,8,1,3.0,,,1,1,False,,False,combined (SPATIAL_W),2446.1520385742188,5218.45751953125,,2.0,0.0,3.0,1.2405425,0,3,0.5474504828453064,0.48304382960001624,0.23782033295990124,25.0,7040,yolov11s_context_0,False,0.0012424725,0,4915200,0,8,0.0,255.0,0.003921568859368563,0.003921568859368563,0.0,1.0,8,8,16,0.38643988966941833,1.0,0.375,0.5274973125771389,0.6666666666666666,0.0764422512274591,False,False,False
conv1,conv,640,640,32,3,3,3,2,2,normalization1,conv2,896.0,91750400,,804.0,497514,120960,14.0,5.0,5.0,32,1,11.0,,1,1,1,False,,False,combined (SPATIAL_W),2894.613250732422,2674.4595947265625,,12.0,0.0,5.0,1.2436375000000002,0,32,0.34339045626776554,0.5279273271560669,0.28451986782951283,152.0,21152,yolov11s_context_0,False,0.0012510075,0,176947200,20480,8,0.0,1.0,-23.77213478088379,23.87229347229004,-0.5027056932449341,63.59226989746094,8,8,16,0.2528723829544502,1.0,1.0,0.9406166953956305,0.8571428571428571,0.23787340711635094,False,False,False
conv2,conv,320,320,64,32,3,3,2,2,conv1,conv_feature_splitter1_1 conv_feature_splitter1_2,18496.0,473497600,,911.3,438932,184320,44.0,9.0,9.0,64,1,20.0,,1,1,1,False,,False,combined (SPATIAL_W),8871.377899169922,1435.0758361816406,,40.0,0.0,9.0,1.2430925000000002,0,128,0.4704201113093983,0.43496284551090664,0.38800957580457573,97.0,39168,yolov11s_context_0,False,0.001268795,0,943718400,20480,8,-0.5027056932449341,63.59226989746094,-0.4391942024230957,0.5974390506744385,-0.2997041344642639,76.12484741210938,8,8,16,0.4314492596182045,1.0,1.0,0.8568761283825678,0.9090909090909091,0.3697336526605151,False,False,False
conv_feature_splitter1_1,conv,160,160,32,64,1,1,1,1,conv2,concat1,2080.0,53248000.0,,1158.41,345301,204800.0,4,1,2,8,2,2,0.0,1,1,1,True,,False,,1304.6143798828125,652.3071899414062,yolov11s/conv_feature_splitter1_1,2,0,1,1.240805,0,8,0.6023730039596558,0.2965528666973114,0.4140621902302685,12,5120,yolov11s_context_0,False,0.0012741875,0,104857600.0,1024,8,-0.2997041344642639,76.12484741210938,-0.6274595856666565,0.4963902533054352,-0.5969250202178955,24.772388458251953,8,8,16,0.6023730039596558,1.0,1.0,0.6873850380220567,1.0,0.4140621902302685,False,False,False
conv_feature_splitter1_2,conv,160,160,32,64,1,1,1,1,conv2,conv4 ew_add1 concat1,2080.0,53248000.0,,860.25,464981,409600.0,2,1,1,16,2,2,0.0,1,1,1,False,,False,,1304.6143798828125,652.3071899414062,yolov11s/conv_feature_splitter1_2,2,0,1,1.2428350000000001,0,16,0.894660234451294,0.2202240526676178,0.8281243987645759,2,5120,yolov11s_context_0,False,0.0012762175,0,104857600.0,512,8,-0.2997041344642639,76.12484741210938,-0.7445284724235535,0.39532485604286194,-0.3962240517139435,16.44329833984375,8,8,16,0.894660234451294,1.0,1.0,0.9256300513596368,1.0,0.8281243987645759,False,False,False
conv4,conv,160,160,16,32,3,3,1,1,conv_feature_splitter1_2,conv5,4624.0,118374400,,1271.39,314617,230400,10.0,4.0,6.0,32,1,5.0,,1,1,1,False,,False,combined (SPATIAL_W),1532.921890258789,358.7689514160156,,4.0,0.0,4.0,1.244205,0,64,0.7714413046836852,0.48011861741542816,0.40540669067408497,84.0,7936,yolov11s_context_0,False,0.0012878325,0,235929600,15360,8,-0.3962240517139435,16.44329833984375,-0.6441296935081482,0.5242372155189514,-0.28298506140708923,10.025755882263184,8,8,16,0.7445996236392682,1.0,1.0,0.6258247736134275,0.8,0.4659891624812721,False,False,False
conv5,conv,160,160,32,16,3,3,1,1,conv4,ew_add1,4640.0,118784000.0,,1171.19,341532,230400.0,8,1,2,4,1,1,0.0,1,1,1,True,,False,,326.1535949707031,652.3071899414062,yolov11s/conv5,4,0,1,1.2424300000000001,0,4,0.6877539753913879,0.2998254895210266,0.4675916525129823,6,5120,yolov11s_context_0,False,0.0012986925,0,235929600.0,30720,8,-0.28298506140708923,10.025755882263184,-0.719193160533905,0.6813554167747498,-0.28684112429618835,17.99928092956543,8,8,16,0.6877539753913879,1.0,1.0,0.6798821515308358,1.0,0.4675916525129823,False,False,False
ew_add1,ew_add,160,160,32,32,,,,,conv_feature_splitter1_2 conv5,concat1,0,409600.0,,1285.27,311219,,1,1,1,32,0,1,0.0,,,,False,,False,,652.3071899414062,0.0,yolov11s/ew_add1,1,0,1,1.23488,0,32,0.6580575108528137,0.32902875542640686,0.40769200236911624,6,5120,yolov11s_context_0,False,0.001304195,0,819200.0,0,8,N/A,N/A,N/A,N/A,-0.7459473609924316,30.956815719604492,8,8,16,0.6580575108528137,1.0,1.0,0.6195385595413465,1.0,0.40769200236911624,False,False,False
concat1,concat,160|160|160,160|160|160,96,32|32|32,,,,,conv_feature_splitter1_1 conv_feature_splitter1_2 ew_add1,conv6,0,0,,1287.23,310745,,1,1,1,96,0,2,1,,,,False,,False,,652.3071899414062,0.0,yolov11s/concat1,0,0,1,1.2348725,0,96,0.9885919094085693,0.9885919094085693,0.6115379879945174,2,15360,yolov11s_context_0,False,0.0013090475,0,0,0,8,-0.5969250202178955,24.772388458251953,N/A,N/A,-0.7459473609924316,30.956815719604492,8,8,8,0.9885919094085693,1.0,1.0,0.6185949755145917,0.0,0.6115379879945174,False,False,False
conv6,conv,160,160,128,96,1,1,1,1,concat1,conv7,12416.0,317849600,,807.46,495379,307200,18.0,4.0,6.0,128,4,11.0,,1,1,1,False,,False,combined (SPATIAL_W),5218.4576416015625,2609.228759765625,,8.0,0.0,4.0,1.24309,0,192,0.716786887910631,0.6828030645847321,0.6285251643427145,11.0,48640,yolov11s_context_0,False,0.00133396,0,629145600,8192,8,-0.7459473609924316,30.956815719604492,-0.7571820616722107,0.5643158555030823,-0.27876293659210205,13.93814754486084,8,8,16,0.69282466173172,1.0,1.0,0.8918680574909423,0.8888888888888888,0.6179081852404883,False,False,False
conv7,conv,160,160,128,128,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,147584.0,944537600,,796.27,502340,368640,44.0,9.0,9.0,128,2,23.0,,1,1,1,False,,False,combined (SPATIAL_W),8479.993545532227,782.7686309814453,,40.0,0.0,9.0,1.2495850000000002,0,512,0.768643893301487,0.37682763528492713,0.7186802184550498,90.0,49152,yolov11s_context_0,False,0.0013708225,0,1887436800,20480,8,-0.27876293659210205,13.93814754486084,-0.15375539660453796,0.2004622220993042,-0.28907135128974915,10.241385459899902,8,8,16,0.7657771949741291,1.0,1.0,0.9668574821420464,0.9090909090909091,0.7406059702191568,False,False,False
conv_feature_splitter2_1,conv,80,80,64,128,1,1,1,1,conv7,concat2,8256.0,52838400.0,,917.72,435861,409600.0,2,1,1,32,4,1,0.0,1,1,1,False,,False,,652.3071899414062,326.1535949707031,yolov11s/conv_feature_splitter2_1,2,0,1,1.2459974999999999,0,32,0.9470909237861633,0.11746864020824432,0.8217541846804174,6,5120,yolov11s_context_0,False,0.00138444,0,104857600.0,1024,8,-0.28907135128974915,10.241385459899902,-0.7969756722450256,0.8282168507575989,-0.43456536531448364,10.646851539611816,8,8,16,0.9470909237861633,1.0,1.0,0.8676613449058406,1.0,0.8217541846804174,False,False,False
conv_feature_splitter2_2,conv,80,80,64,128,1,1,1,1,conv7,conv9 ew_add2 concat2,8256.0,52838400.0,,815.36,490581,409600.0,2,1,2,32,8,15,0.0,1,1,1,True,,False,,652.3071899414062,326.1535949707031,yolov11s/conv_feature_splitter2_2,1,0,1,1.2477075,0,32,0.8414512872695923,0.10436604917049408,0.8217542181789302,15,5120,yolov11s_context_0,False,0.00138615,0,104857600.0,2048,8,-0.28907135128974915,10.241385459899902,-0.6643392443656921,0.8383550643920898,-0.3419436812400818,8.377620697021484,8,8,16,0.8414512872695923,1.0,1.0,0.9765915515387984,1.0,0.8217542181789302,False,False,False
conv9,conv,80,80,32,64,3,3,1,1,conv_feature_splitter2_2,conv10,18464.0,118169600.0,,1237.21,323308,230400.0,8,1,2,4,1,1,0.0,1,1,1,True,,False,,326.1535949707031,163.07679748535156,yolov11s/conv9,4,0,1,1.2504925,0,4,0.731701672077179,0.07918146252632141,0.4709260743638344,128,256,yolov11s_context_0,False,0.0014042625,0,235929600.0,10240,8,-0.3419436812400818,8.377620697021484,-0.46696892380714417,0.37830331921577454,-0.27903828024864197,8.615306854248047,8,8,16,0.731701672077179,1.0,1.0,0.643603933590795,1.0,0.4709260743638344,False,False,True
